,Dialogue,age
0,야! 우리둘이 한 장 찍어봐,00
1,나는 여기 배경으로 이렇게 찍어줘,00
2,이제 한방 남았는데?,00
3,우리 다같이 한방 찍자.,00
4,오～케이! 쫌만 기다려 타이머 맞추고.,00
5,안돼! 야～ 비켜!! 뭐야～,00
6,고양이를 부탁해!,00
7,나오셨어요? 오후에나 출근하신다고 ...,00
8,"좀 쉬었다가 나오려다가 그냥 나왔어, 에이취! 차라리 일찍 퇴근하는 게 나을거 같아서.",00
9,근데 감기 걸리셨나봐요.,00
10,"일찍 출근하네, 집이 어디랬지?",00
11,"인천이요,",00
12,서울까지 오려면 두시간은 걸리겠네? 이거 혜주씨가 갖다놓은 거야?,00
13,네 안계신 동안 거래된 자료예요,00
14,"번번히 고마워서 어쩌지? 이거 선물,",00
15,억지로 운게 아니예요. 그치만 참아야겠다고 생각하지도 않았어요. 뭐라고 말은 못하겠지만 내가 그애를 이해할 수 있다는 느낌이 들었다구요. 그애랑 내가 다를게 하나도 없구나 그런게 느껴졌다구요,00
16,"눈물이 나온다고 언제나 우니? 네가 그 아이를 위한다면 그렇게 울어선 안돼, 네가 그러는건 너를 위한 거지 그 애를 위한 게 아냐",00
17,"그건 동정심은 아니예요, 아니 동정심이라도 좋아요, 세상에는 동정심조차 없는 사람들도 많잖아요.",00
18,"수녀님 전화왔는데요,",00
19,오늘은 이 정도로 마치고 다음에 또 얘기하자,00
20,다른 데는 좀 알아봤니?,00
21,시간이 없어서 아직 못 알아봤어요.,00
22,"다음주에 기계들을 처분하면 그때 밀린 월급을 보내주마, 그동안 수고했다.",00
23,고양이는 영물이라서 집에 두면 안좋다.,00
24,그건 다 미신이야,00
25,"니 할애비가 호랭이띠라서 괭이가 버텨내지도 못해, 갖다버려.",00
26,빨리 봄이 와야지 산에 가서 달래도 캐고 냉이도 캐고....,00
27,티티! 맘에들어? 이제부터 니이름은 티티야 티티.,00
28,아가씨 오셨어요?,00
29,온 가족이 모여 저녁 먹자고 분명히 말했는데 이제 들어와?,00
30,"쟤 오늘 봉사하는 날이잖아요, 배고플텐데 빨리 와서 먹어.",00
31,"어쩌나 아가씨, 밥이 떨어졌네요.",00
32,사회에 봉사씩이나 하는데 밥은 먹여줘야 되는거 아냐?,00
33,야! 신경꺼,00
34,"밥때 못 맞췄으면 굶어야지 밥은 무슨 밥, 배부르고 등따시니깐 지 앞가림도 못하면서 남일에나 정신팔구 다니구.",00
35,나두 밥생각 없으니깐 걱정마.,00
36,그렇게 꼭꼭 쳐닫고 살면 곰팡이 냄새 안나냐?,00
